Date,Open,High,Low,Close,Volume
2010-02-28,10010,10275,9545,9675,2306777.0
2010-03-31,9855,11005,9845,10885,15153923.0
2010-04-30,10890,11750,10890,11455,31343610.0
2010-05-31,11385,11455,8975,9950,54486912.0
2010-06-30,9890,11360,9795,10590,52729462.0
2010-07-31,10440,11680,9950,11410,60087074.0
2010-08-31,11525,11930,10715,11040,57343775.0
2010-09-30,11110,12750,11110,12630,41734622.0
2010-10-31,12675,13245,12075,12595,56555634.0
2010-11-30,12705,14110,12585,13340,70255422.0
2010-12-31,13350,15995,13265,15965,51494407.0
2011-01-31,16090,16820,15935,16150,61464216.0
2011-02-28,16300,16665,14120,14150,74126544.0
2011-03-31,14000,16580,13550,16580,128236836.0
2011-04-30,16580,18590,16080,17890,120794333.0
2011-05-31,17990,18590,15165,16915,137337152.0
2011-06-30,17000,17045,14645,15915,198592885.0
2011-07-31,16260,17385,15830,16075,179236076.0
2011-08-31,16335,16765,9770,11940,781949296.0
2011-09-30,11990,12610,9150,10495,764078948.0
2011-10-31,9500,13070,9315,12380,605115469.0
2011-11-30,12095,12590,10300,11390,607263660.0
2011-12-31,12200,12525,10000,11170,503982846.0
2012-01-31,11240,13355,10965,12945,386374054.0
2012-02-29,12900,14150,12780,13855,348322037.0
2012-03-31,13995,14360,12970,13740,271873250.0
2012-04-30,13840,14370,12970,13450,322824111.0
2012-05-31,13595,13700,10605,11335,393323073.0
2012-06-30,11220,12275,10575,11360,430620130.0
2012-07-31,11500,12020,10100,11755,617713546.0
2012-08-31,11585,12855,11235,11725,555451286.0
2012-09-30,11720,13170,11250,12800,474321162.0
2012-10-31,12770,12960,11305,11580,426108320.0
2012-11-30,11435,12090,10900,11975,497841567.0
2012-12-31,12000,13025,11850,12970,277696231.0
2013-01-31,13175,13725,11970,12315,514454187.0
2013-02-28,12340,13415,11895,13290,480474599.0
2013-03-31,13270,13420,11915,12740,569675104.0
2013-04-30,12785,12785,11085,11935,648782030.0
2013-05-31,11850,12565,11420,12415,538017360.0
2013-06-30,12300,12445,9585,10485,647350983.0
2013-07-31,10310,11105,9845,11020,679647304.0
2013-08-31,11025,11280,10115,11230,596623865.0
2013-09-30,11210,12465,11155,12115,518403580.0
2013-10-31,12070,13130,11955,12645,457042251.0
2013-11-30,12710,12900,11710,12775,474203996.0
2013-12-31,12790,12915,11460,12425,462072891.0
2014-01-31,12490,12500,10885,11355,534124016.0
2014-02-28,11230,11805,10605,11695,494621190.0
2014-03-31,11530,11795,10815,11605,495603117.0
2014-04-30,11625,12105,11325,11345,429880542.0
2014-05-31,11425,12230,11015,11840,414219386.0
2014-06-30,11875,12060,11320,11725,386106862.0
2014-07-31,11670,12935,11375,12635,495128423.0
2014-08-31,12450,12665,11825,12100,446209039.0
2014-09-30,12060,12145,11195,11275,420993232.0
2014-10-31,11180,11210,9840,10660,595920959.0
2014-11-30,10650,11015,10260,10930,407319053.0
2014-12-31,10840,11065,9970,10290,414756216.0
2015-01-31,10275,11020,9915,10860,536369598.0
2015-02-28,10755,11060,10475,10915,267088543.0
2015-03-31,10980,11675,10750,11320,360320442.0
2015-04-30,11280,12935,11145,12175,356143031.0
2015-05-31,12240,12335,11420,11590,267653384.0
2015-06-30,11550,11550,10295,10750,335563209.0
2015-07-31,10740,11115,9935,10025,430429626.0
2015-08-31,10035,10085,8000,9050,492735318.0
2015-09-30,8980,9815,8630,9365,436594550.0
2015-10-31,9355,10725,9305,10490,440227000.0
2015-11-30,10455,10780,9590,10015,303098597.0
2015-12-31,10080,10340,9365,9870,392502499.0
2016-01-31,9810,9815,8535,9140,727762281.0
2016-02-29,9215,9555,8535,9395,572347639.0
2016-03-31,9625,10350,9590,10190,376439922.0
2016-04-30,10180,10505,9675,10115,279990366.0
2016-05-31,10070,10080,9500,9925,276997570.0
2016-06-30,9880,10595,9265,9915,501885318.0
2016-07-31,9950,10675,9680,10550,414278451.0
2016-08-31,10620,11120,10270,10920,264279715.0
2016-09-30,10800,11370,10400,10940,245391227.0
2016-10-31,11055,11260,10605,10795,290513490.0
2016-11-30,10785,10890,10075,10640,461203246.0
2016-12-31,10650,11410,10405,11365,224229112.0
2017-01-31,11365,12375,11285,12170,173595426.0
2017-02-28,12225,12565,11905,12255,167832861.0
2017-03-31,12425,13555,12110,13265,234247874.0
2017-04-30,13315,13960,12710,13825,217874692.0
2017-05-31,13935,16035,13935,15585,352723808.0
2017-06-30,15560,16465,15400,16275,343850572.0
2017-07-31,16350,17345,16060,16525,338488058.0
2017-08-31,16445,16985,15205,15785,325132005.0
2017-09-30,15880,17030,15235,16605,279010623.0
2017-10-31,16930,18455,16920,18405,223182047.0
2017-11-30,18580,19030,17395,17395,263644097.0
2017-12-31,17550,18010,16820,17650,170128563.0
2018-01-31,17730,19240,17635,18680,260750934.0
2018-02-28,18735,18825,15275,16290,351480542.0
2018-03-31,15945,17515,15405,16500,369389523.0
2018-04-30,16505,17265,15790,17200,302521253.0
