Date,Open,High,Low,Close,Volume,Change
2019-10-18 00:00:00,3570,4640,3570,4640,433,
2019-10-21 00:00:00,6030,6030,6030,6030,131,0.2995689655172413
2019-10-22 00:00:00,7830,7830,7830,7830,14,0.2985074626865671
2019-10-23 00:00:00,10150,10150,10150,10150,273,0.2962962962962963
2019-10-24 00:00:00,13150,13150,13150,13150,304,0.2955665024630542
2019-10-25 00:00:00,17050,17050,17050,17050,293,0.2965779467680609
2019-10-28 00:00:00,0,0,0,17050,0,0.0
2019-10-29 00:00:00,22150,22150,22150,22150,680,0.2991202346041055
2019-10-30 00:00:00,28400,28750,21050,28750,532247,0.2979683972911964
2019-10-31 00:00:00,0,0,0,28750,0,0.0
2019-11-01 00:00:00,31200,36400,29350,34000,480639,0.1826086956521739
2019-11-04 00:00:00,35300,36800,28350,28350,347995,-0.1661764705882352
2019-11-05 00:00:00,27100,27550,22150,23000,291943,-0.1887125220458554
2019-11-06 00:00:00,22800,25900,21350,24000,303947,0.0434782608695651
2019-11-07 00:00:00,23550,23550,20250,21350,136605,-0.1104166666666667
2019-11-08 00:00:00,20800,22850,20250,20850,150637,-0.0234192037470726
2019-11-11 00:00:00,20650,22400,19800,19850,110751,-0.0479616306954436
2019-11-12 00:00:00,20450,20500,18100,18700,74621,-0.0579345088161209
2019-11-13 00:00:00,18700,19350,17850,18650,60486,-0.0026737967914438
2019-11-14 00:00:00,18650,18900,17850,18600,51540,-0.002680965147453
2019-11-15 00:00:00,19900,21100,18500,19600,209556,0.053763440860215
2019-11-18 00:00:00,20200,20400,18650,19050,68666,-0.0280612244897958
2019-11-19 00:00:00,18200,19300,17600,18050,57057,-0.05249343832021
2019-11-20 00:00:00,17550,18150,16900,17000,28829,-0.0581717451523545
2019-11-21 00:00:00,17100,17300,15700,15900,32210,-0.0647058823529411
2019-11-22 00:00:00,15550,15900,15050,15650,22456,-0.0157232704402515
2019-11-25 00:00:00,15950,16750,15550,16250,16074,0.0383386581469649
2019-11-26 00:00:00,16000,16150,15300,15750,14452,-0.0307692307692307
2019-11-27 00:00:00,15750,16700,15000,16550,21431,0.0507936507936508
2019-11-28 00:00:00,16300,16500,15450,15450,17378,-0.066465256797583
2019-11-29 00:00:00,15400,15700,13900,14550,16316,-0.0582524271844659
2019-12-02 00:00:00,14150,14900,13500,14300,31313,-0.0171821305841924
2019-12-03 00:00:00,14000,18550,13650,18550,217178,0.2972027972027973
2019-12-04 00:00:00,20100,22100,16300,16800,666852,-0.0943396226415094
2019-12-05 00:00:00,16350,16800,14100,15000,136457,-0.1071428571428571
2019-12-06 00:00:00,14750,17450,14200,14750,444225,-0.0166666666666667
