ticker,Open,High,Low,Close,Volume,Money,Change
095570,5290,5560,5270,5560,354540,1944681410,4.12
006840,30250,31500,29900,31100,185154,5755819950,2.81
027410,6940,6990,6800,6910,326363,2251853060,-0.43
282330,149500,154000,147500,153000,63877,9721708792,2.34
138930,7330,7790,7290,7670,5125163,39079458580,4.78
001460,365000,365000,361000,362000,474,171788500,-0.82
001465,159500,160000,158500,160000,75,11943500,-0.31
001040,96000,97300,95500,95500,75527,7261203500,-0.93
079160,25900,26600,25500,26100,332823,8716029250,0.77
00104K,77700,78200,76900,77700,5554,430602400,0.0
000120,173000,176500,171000,171500,40781,7058181000,-1.44
011150,4470,4470,4405,4405,303751,1345776355,-1.34
011155,42100,42100,40750,41150,587,24283550,-0.36
001045,61000,61400,60700,61000,3440,209749000,0.0
097950,400000,401500,395500,395500,42806,17007995500,-1.13
097955,187500,189500,185000,185500,5479,1021287500,-1.07
000590,73500,75500,73500,74900,4174,312387900,0.54
012030,920,950,916,930,1520911,1418837551,1.09
016610,7030,7350,7030,7100,516251,3720793600,1.43
005830,48500,49250,48150,48950,234598,11463985500,1.98
000990,57400,57800,54100,55300,864831,48017698000,-3.32
000995,122000,122500,118500,118500,1177,142315000,-2.07
139130,8690,9100,8550,8860,3227547,28790865210,4.36
001530,184000,186000,177500,182000,15446,2801631500,-0.82
000210,98300,99200,94500,94600,280864,26986910800,-3.67
001880,36600,36750,35400,35500,98589,3533526200,-2.74
000215,55000,55400,52900,55200,18371,998720000,0.91
375500,135000,135500,131000,133000,270705,35996979000,-1.85
37550K,79300,79400,77200,77600,16560,1292864500,-2.02
004840,7160,7160,6940,7040,40599,285017560,-0.98
155660,7200,7420,7050,7220,190165,1370925270,-0.69
069730,6200,6480,6090,6180,342801,2154552290,-0.32
017940,46300,46700,45550,46000,23259,1068948300,-0.54
365550,6450,6500,6440,6460,317144,2051673510,0.16
007700,0,0,0,180000,0,0,0.0
114090,16000,16600,15850,16400,855535,13998846850,2.82
